user,ae_score,if_score,rule_score,is_insider,scenario
user_0000,0.397049,0.662864,1.0,0,1
user_0001,0.385816,0.955623,0.0,0,2
user_0002,0.393837,0.286446,0.0,0,0
user_0003,0.046207,0.924808,0.0,0,0
user_0004,0.962628,0.024859,0.0,1,2
user_0005,0.239903,0.555198,3.0,0,2
user_0006,0.232852,0.633975,2.0,0,0
user_0007,0.51597,0.105897,3.0,0,2
user_0008,0.013095,0.14034,3.0,0,1
user_0009,0.172837,0.419114,3.0,0,2
user_0010,0.011632,0.966232,0.0,0,3
user_0011,0.17985,0.596043,1.0,0,0
user_0012,0.285924,0.933023,3.0,0,3
user_0013,0.063895,0.804361,0.0,0,1
user_0014,0.203393,0.467382,0.0,0,3
user_0015,0.025395,0.784763,2.0,0,1
user_0016,0.810929,0.017837,3.0,0,1
user_0017,0.052051,0.109144,3.0,0,3
user_0018,0.148831,0.829429,3.0,0,2
user_0019,0.068204,0.796817,0.0,0,0
user_0020,0.206003,0.232641,3.0,0,2
user_0021,0.036923,0.53077,3.0,0,3
user_0022,0.303536,0.606016,2.0,0,1
user_0023,0.20265,0.867739,3.0,0,3
user_0024,0.108303,0.603107,3.0,0,2
user_0025,0.068881,0.412572,1.0,0,1
user_0026,0.937927,0.374184,0.0,1,0
user_0027,0.012729,0.425882,1.0,0,2
user_0028,0.029666,0.651931,0.0,0,0
user_0029,0.113179,0.867491,0.0,0,3
user_0030,0.06419,0.453897,0.0,0,2
user_0031,0.208781,0.24784,2.0,0,1
user_0032,0.117005,0.236662,2.0,0,0
user_0033,0.039294,0.746014,2.0,0,2
user_0034,0.076148,0.816569,2.0,0,0
user_0035,0.105952,0.105278,2.0,0,1
user_0036,0.056783,0.066559,2.0,0,3
user_0037,0.053163,0.594434,0.0,0,3
user_0038,1.0,0.146173,3.0,1,3
user_0039,0.04904,0.824664,1.0,0,3
user_0040,0.220258,0.310335,0.0,0,2
user_0041,0.229698,0.143872,3.0,0,0
user_0042,0.179034,0.92097,2.0,0,3
user_0043,0.01206,0.165532,0.0,0,3
user_0044,0.187288,0.28472,0.0,0,3
user_0045,0.223666,0.153613,0.0,0,2
user_0046,0.185302,0.11549,1.0,0,0
user_0047,0.046249,0.021148,0.0,0,2
user_0048,0.053002,0.055395,2.0,0,1
user_0049,0.027371,0.174641,2.0,0,3
user_0050,0.058522,0.053382,3.0,0,1
user_0051,0.003491,0.591144,2.0,0,1
user_0052,0.027638,0.680715,2.0,0,0
user_0053,0.217178,0.39363,2.0,0,3
user_0054,0.659889,0.317991,0.0,0,3
user_0055,0.093067,0.504526,0.0,0,0
user_0056,0.046908,0.875005,2.0,0,1
user_0057,0.065688,0.851132,0.0,0,1
user_0058,0.059675,0.043475,0.0,0,1
user_0059,0.021409,0.181498,0.0,0,3
user_0060,0.178908,0.236745,3.0,0,0
user_0061,0.227218,0.249388,1.0,0,1
user_0062,0.249011,0.571233,2.0,0,0
user_0063,0.876914,0.416262,1.0,1,0
user_0064,0.34791,0.049254,0.0,0,3
user_0065,0.271646,0.373614,1.0,0,3
user_0066,0.17233,0.523753,0.0,0,0
user_0067,0.097854,0.101672,3.0,0,2
user_0068,0.007341,0.833459,0.0,0,0
user_0069,0.157981,0.051962,1.0,0,0
user_0070,0.10262,0.924842,3.0,0,1
user_0071,0.249036,0.099113,2.0,0,0
user_0072,0.334919,0.843575,1.0,0,1
user_0073,0.05484,0.902653,2.0,0,3
user_0074,0.008216,0.979571,3.0,0,2
user_0075,0.152732,0.802026,1.0,0,2
user_0076,0.421691,0.779478,2.0,0,1
user_0077,0.135598,0.642483,3.0,0,0
user_0078,0.35192,0.778996,2.0,0,0
user_0079,0.994516,0.134552,1.0,1,1
user_0080,0.217003,0.536068,0.0,0,0
user_0081,0.047692,0.514223,0.0,0,3
user_0082,0.022199,0.857572,3.0,0,3
user_0083,0.02353,0.462799,2.0,0,3
user_0084,0.019435,0.385089,1.0,0,2
user_0085,0.009029,0.639563,1.0,0,2
user_0086,0.283491,0.266463,2.0,0,2
user_0087,0.074088,0.139768,2.0,0,1
user_0088,0.063769,0.477877,2.0,0,2
user_0089,0.154406,0.416889,1.0,0,3
user_0090,0.030927,0.23257,2.0,0,3
user_0091,0.316801,0.367512,1.0,0,2
user_0092,0.213363,0.366392,3.0,0,0
